player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Inkogneeto-BloodsailBuccaneers,3/13/20,22:28:40,1584170920-18,[Shadowstrike],17074,item:17074::::::::60,Banking,0,WARRIOR,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cffa335ee|Hitem:18348:1900:::::::60:::11::::|h[Quel'Serrar]|h|r,|cffa335ee|Hitem:19321:929:::::::60:::14::::|h[The Immovable Object]|h|r,2,true,Polearms,Two-Hand,,Sulfuron Harbinger
Inkogneeto-BloodsailBuccaneers,3/14/20,19:37:37,1584247057-10,[Waistband of Wrath],16960,item:16960::::::::60,Mainspec/Need,5,WARRIOR,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,|cffa335ee|Hitem:16864::::::::60:::::::|h[Belt of Might]|h|r,,1,false,Plate,Waist,,Vaelastrasz the Corrupt
Inkogneeto-BloodsailBuccaneers,3/20/20,22:37:36,1584776256-24,[Legplates of Wrath],16962,item:16962::::::::60,Mainspec,5,WARRIOR,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:18861:1505:::::::60:::::::|h[Flamewaker Legplates]|h|r,,1,false,Plate,Legs,,Ragnaros
Inkogneeto-BloodsailBuccaneers,3/27/20,21:08:54,1585375734-9,[Drillborer Disk],17066,item:17066::::::::60,Minor Upgrade,4,WARRIOR,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:19321:929:::::::60:::14::::|h[The Immovable Object]|h|r,,3,false,Shields,Off Hand,,Garr
Inkogneeto-BloodsailBuccaneers,3/28/20,21:56:24,1585464984-13,[Lifegiving Gem],19341,item:19341::::::::60,Mainspec,5,WARRIOR,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,|cffa335ee|Hitem:17909::::::::60:::11::::|h[Frostwolf Insignia Rank 6]|h|r,|cff0070dd|Hitem:13965::::::::60:::11::::|h[Blackhand's Breadth]|h|r,1,false,Miscellaneous,Trinket,,Broodlord Lashlayer
Inkogneeto-BloodsailBuccaneers,4/03/20,22:54:03,1585986843-27,[Essence of the Pure Flame],18815,item:18815::::::::60,Mainspec/Need,3,WARRIOR,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:19341::::::::60:::::::|h[Lifegiving Gem]|h|r,|cff0070dd|Hitem:18638::::::::60:::::::|h[Hyper-Radiant Flame Reflector]|h|r,1,false,Miscellaneous,Trinket,,Ragnaros
Inkogneeto-BloodsailBuccaneers,4/11/20,20:49:45,1586670585-20,[Chromatic Boots],19387,item:19387::::::::60,Mainspec,5,WARRIOR,Blackwing Lair-40 Player,Chromaggus,9,469,40,|cffa335ee|Hitem:14549:911:::::::60:::1::::|h[Boots of Avoidance]|h|r,,1,false,Plate,Feet,,Chromaggus
Inkogneeto-BloodsailBuccaneers,4/17/20,21:07:20,1587190040-19,[Bindings of the Windseeker],18564,item:18564::::::::60,Mainspec,1,WARRIOR,Molten Core-40 Player,Garr,9,409,40,,,1,false,Junk,,,Garr
Inkogneeto-BloodsailBuccaneers,4/18/20,21:24:46,1587277486-27,[Archimtiros' Ring of Reckoning],19376,item:19376::::::::60,Mainspec,5,WARRIOR,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:19325::::::::60:::14::::|h[Don Julio's Band]|h|r,|cffa335ee|Hitem:17063::::::::60:::::::|h[Band of Accuria]|h|r,1,false,Miscellaneous,Finger,,Nefarian
Inkogneeto-BloodsailBuccaneers,4/24/20,21:16:32,1587795392-20,[Gutgore Ripper],17071,item:17071::::::::60,Minor Upgrade,5,WARRIOR,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:18348:1900:::::::60:::11::::|h[Quel'Serrar]|h|r,|cffa335ee|Hitem:17066:929:::::::60:::::::|h[Drillborer Disk]|h|r,3,false,Daggers,One-Hand,,Garr
